codigo_lugar,tipo,a,b,c
RBAT05,9,35,28,23
RBAT05,8,52,33,26
RBAT05,5,38,32,25
RBAT05,8,48,32,13
RBAT05,9,50,36,30
RBAT05,8,56,43,17
RBAT05,9,55,25,23
RBAT05,8,56,22,6
RBAT05,8,36,30,20
RBAT05,9,36,25,15
RBAT05,8,48,40,16
RBAT05,8,25,15,13
RBAT05,8,34,18,10
RBAT05,5,73,48,38
RBAT05,1,92,50,20
RBAT05,9,63,44,32
RBAT05,9,33,30,26
RBAT05,8,39,23,10
RBAT05,9,36,21,10
RBAT05,9,90,49,40
RBAT05,8,49,35,20
RBAT05,9,33,29,22
RBAT05,5,43,41,34
RBAT05,8,35,18,13
RBAT05,9,95,61,27
RBAT05,8,86,51,29
RBAT05,1,160,115,43
RBAT05,8,43,23,8
RBAT05,1,100,45,28
RBAT05,8,42,26,19
RBAT05,9,45,24,22
RBAT05,8,41,31,12
RBAT05,8,127,64,15
RBAT05,8,38,35,20
RBAT05,8,110,75,50
RBAT05,8,50,28,8
RBAT05,5,52,32,18
RBAT05,5,42,21,13
RBAT05,5,43,33,21
RBAT05,8,43,35,15
RBAT05,8,44,24,18
RBAT05,8,32,24,20
RBAT05,8,39,27,16
RBAT05,8,42,24,15
RBAT05,8,35,33,19
RBAT05,8,46,34,18
RBAT05,8,35,29,20
RBAT05,8,41,38,18
RBAT05,5,48,27,25
RBAT05,7,41,37,28
RBAT05,9,42,30,19
RBAT05,8,64,41,19
RBAT05,5,38,30,15
RBAT05,8,48,22,11
RBAT05,9,45,32,19
RBAT05,1,55,26,22
RBAT05,8,126,99,29
RBAT05,9,35,25,15
RBAT05,8,50,32,3
RBAT05,8,40,28,15
RBAT05,8,32,26,12
RBAT05,8,35,25,13
RBAT05,8,33,28,12
RBAT05,8,38,24,9
RBAT05,9,43,20,18
RBAT05,8,37,22,11
RBAT05,8,48,35,15
RBAT05,9,66,50,42
RBAT05,8,98,41,25
RBAT05,8,111,74,35
RBAT05,8,50,15,9
RBAT05,8,230,122,74
RBAT05,7,92,60,37
RBAT05,5,35,20,14
RBAT05,8,59,50,23
RBAT05,1,35,33,20
RBAT05,8,44,20,12
RBAT05,8,35,20,18
RBAT05,9,72,28,25
RBAT05,9,118,94,38
RBAT05,9,74,55,22
RBAT05,9,35,24,14
RBAT05,8,37,22,14
RBAT05,5,120,54,28
RBAT05,5,77,54,35
